#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
0;22/06/2019 07:43:41;IRP_MJ_WRITE;DOWN;;0d 0d ;"..";2;2;COM1;;
1;22/06/2019 07:43:41;IRP_MJ_WRITE;UP;STATUS_SUCCESS;0d 0d ;"..";2;;COM1;;
2;22/06/2019 07:43:41;IRP_MJ_WRITE;DOWN;;76 65 72 73 69 6f 6e 0d ;"version.";8;8;COM1;;
3;22/06/2019 07:43:41;IRP_MJ_WRITE;UP;STATUS_SUCCESS;76 65 72 73 69 6f 6e 0d ;"version.";8;;COM1;;
4;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
5;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
6;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
7;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
8;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
9;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
10;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
11;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
12;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
13;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
14;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
15;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
16;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
17;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;76 ;"v";1;;COM1;;
18;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
19;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
20;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
21;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;72 ;"r";1;;COM1;;
22;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
23;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;73 ;"s";1;;COM1;;
24;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
25;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
26;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
27;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
28;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
29;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6e ;"n";1;;COM1;;
30;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
31;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
32;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
33;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
34;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
35;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;55 ;"U";1;;COM1;;
36;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
37;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
38;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
39;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
40;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
41;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
42;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
43;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
44;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
45;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;61 ;"a";1;;COM1;;
46;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
47;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
48;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
49;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
50;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
51;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;42 ;"B";1;;COM1;;
52;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
53;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
54;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
55;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;78 ;"x";1;;COM1;;
56;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
57;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
58;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
59;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;52 ;"R";1;;COM1;;
60;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
61;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
62;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
63;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;76 ;"v";1;;COM1;;
64;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
65;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
66;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
67;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
68;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
69;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
70;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
71;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
72;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
73;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
74;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
75;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
76;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
77;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
78;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
79;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
80;22/06/2019 07:43:41;IRP_MJ_WRITE;DOWN;;6d 6f 64 65 6c 0d ;"model.";6;6;COM1;;
81;22/06/2019 07:43:41;IRP_MJ_WRITE;UP;STATUS_SUCCESS;6d 6f 64 65 6c 0d ;"model.";6;;COM1;;
82;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
83;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
84;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
85;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
86;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
87;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
88;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
89;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
90;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
91;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
92;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
93;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
94;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
95;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
96;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
97;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;55 ;"U";1;;COM1;;
98;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
99;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
100;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
101;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
102;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
103;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
104;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
105;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
106;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
107;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;61 ;"a";1;;COM1;;
108;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
109;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
110;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
111;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
112;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
113;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;42 ;"B";1;;COM1;;
114;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
115;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
116;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
117;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;78 ;"x";1;;COM1;;
118;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
119;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
120;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
121;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
122;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
123;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
124;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
125;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
126;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
127;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
128;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
129;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
130;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
131;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
132;22/06/2019 07:43:41;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
133;22/06/2019 07:43:41;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
134;22/06/2019 07:43:41;IRP_MJ_WRITE;DOWN;;63 64 0d ;"cd.";3;3;COM1;;
135;22/06/2019 07:43:41;IRP_MJ_WRITE;UP;STATUS_SUCCESS;63 64 0d ;"cd.";3;;COM1;;
